title,author,year,chooser,M,mean,std,b_mean,b_std,fog_index
The Lady Astronaut of Mars,Mary Kowal,2012,Don,6,3.000,0.894,3.000,0.908,7.1
Today I am Paul,Martin Shoemaker,2015,Bill,9,3.111,1.054,3.105,1.046,7.6
The Well of Baln,Ursula Le Guin,1981,John,7,2.214,0.699,2.267,0.773,5.5
I don't know Timmy being God is a big responsibility,Sam Hughes,2008,John,6,2.850,0.987,2.862,0.985,8
Non-zero Probabilities,NK Jemisin,2009,John,6,2.917,0.492,2.923,0.604,7
Life Line,Robert Heinlein,1939,John,5,2.500,0.707,2.545,0.783,7
Jack-In-the-Box,Ray Bradbury,1947,Tam,7,2.714,0.488,2.733,0.591,5.6
Who Will Greet You at Home,Lesley Arimah,2015,Tam,7,3.043,0.964,3.040,0.965,8
You Have to Follow the Rules,Ada Hoffmann,2013,Tam,8,2.438,0.904,2.471,0.923,5.6
A Vector Alphabet of Interstellar Travel,Yoon-Ha Lee,2011,Vijay,8,2.125,0.641,2.176,0.725,13.5
The View From Endless Scarp,Marta Randall,1978,Vijay,7,2.429,1.272,2.467,1.241,6.8
The Fate of the Poseidonia,Claire Wright Harris,1927,Vijay,7,2.143,0.690,2.200,0.771,
Covenant,Elizabeth Bear,2014,Mark,7,4.143,0.900,4.067,0.957,7.1
The Library of Mabel Mogaburu,Fernando Sorrentino,2013,Mark,7,1.857,0.627,1.933,0.750,8.7
The Veldt,Ray Bradbury,1950,Mark,8,3.188,0.753,3.176,0.787,11.1
Snow Glass Apples,Neil Gaiman,1994,Mark,7,2.857,0.690,2.867,0.740,
Mountain,Cixin Liu,2005,Ting,5,3.500,1.000,3.455,1.004,7.3
The Story of Your Life,Ted Chiang,1998,Ting,6,4.500,1.225,4.385,1.254,
The Bad Graft,Karen Russell,2014,Gary,8,2.800,1.111,2.812,1.095,7.8
The Relive Box,TC Boyle,2014,Gary,6,2.933,0.816,2.938,0.845,10.4
Tortoiseshell Cats are Not Refundable,Cat Rambo,2014,Gary,7,3.300,0.705,3.280,0.755,7.4
The Story of Thanksgiving is a Science Fiction Story,Scott Alexander,2013,Les,5,2.800,0.758,2.818,0.808,10.3
The Star,Esther Claes,2007,Les,5,2.500,0.500,2.545,0.645,8.8
Cyberpunk,Bruce Bethke,1980,Les,5,2.400,0.548,2.455,0.682,5.1
The Vaporization Enthalpy of a Peculiar Pakistani Family,Usman Malik,2014,Les,5,2.000,0.000,2.091,0.535,8.6
The Seasons of the Ansarac,Ursula Le Guin,2002,Stuart,7,2.071,1.097,2.133,1.105,9.9
The Island of the Immortals,Ursula Le Guin,2011,Stuart,6,3.583,1.021,3.538,1.024,8.7
The Fountains,Ursula Le Guin,1960,Stuart,4,2.000,0.000,2.111,0.594,9.6
Tk'tk'tk,David Levine,2005,Charlotte,6,3.000,1.414,3.000,1.347,7.9
Planet Lion,Catherynne Valente,2015,Charlotte,5,3.200,0.837,3.182,0.867,7.4
Bloodchild,Octavia Butler,1984,Charlotte,6,4.133,0.804,4.046,0.892,6.2
Travels with the Snow Queen,Kelly Link,1997,Don,7,3.429,1.239,3.400,1.208,7.2
A Study in Emerald,Neil Gaiman,2003,Don,7,3.829,1.036,3.773,1.048,
The Three Resurrections of Jessica Churchill,Kelly Robson,2015,Bill,6,2.417,1.021,2.462,1.024,5.2
Damage,David Levine,2015,Bill,5,2.800,1.304,2.818,1.241,10.2
Cat Pictures Please,Naomi Kritzer,2015,Bill,7,3.300,1.264,3.280,1.227,10.3
And We were Left Darkling,Sarah Pinsker,2015,Bill,5,2.400,1.517,2.455,1.429,5.7
The Billiard Ball,Isaac Asimov,1967,Mark,4,2.250,0.500,2.333,0.699,10.1
The Marching Morons,CM Kornbluth,1951,Mark,6,2.250,0.880,2.308,0.920,8.3
The Little Black Bag,CM Kornbluth,1950,Mark,6,2.667,0.516,2.692,0.627,8.4
Microcosmic God,Theodore Sturgeon,1941,Les,4,3.125,0.854,3.111,0.884,9.1
Let's All Sing Like the Birdies Sing,Paul Di Filippo,2012,Les,4,2.750,1.258,2.778,1.188,12.3
Dust,Edward Ashton,2014,Les,4,2.875,0.854,2.889,0.884,7.4
He-y Come on Ou-t,Shinichi Hoshi,1989,Ting,6,2.667,0.983,2.692,0.985,8.3
Reef,Paul McAuley,2011,Ting,5,3.100,0.742,3.091,0.794,9.9
Tying Knots,Ken Liu,2011,Ting,6,3.167,0.753,3.154,0.796,8.4
The Day of the Boomer Dukes,Frederik Pohl,1956,Vijay,4,1.750,0.957,1.889,1.042,8
A Most Ambitious Experiment,Mike Krath,,Vijay,5,2.200,0.837,2.273,0.898,5.6
The Clock That Went Backward,Edward Mitchell,1881,Vijay,6,2.333,0.516,2.385,0.647,9.2
The Water that Falls on You from Nowhere,John Chu,2013,Gary,6,2.083,0.801,2.154,0.870,6.8
The Girl who was Plugged In,Alice Sheldon,1973,Gary,4,3.000,0.816,3.000,0.856,6.3
Harrison Bergeron,Kurt Vonnegut,1961,Gary,5,4.600,0.548,4.455,0.814,8
S is for Solipsism,Tim Pratt,2011,Stuart,4,1.950,0.737,2.067,0.873,8.9
Closer,Greg Egan,1992,Stuart,4,3.700,0.872,3.622,0.925,10.6
They,Robert Heinlein,1941,Stuart,4,2.000,0.816,2.111,0.918,
From Gustible's Planet,Cordwainer Smith,1962,Charlotte,4,3.325,1.044,3.289,1.027,10.2
Exhalation,Ted Chiang,2008,Charlotte,6,4.250,1.173,4.154,1.190,14.4
The Iceman,Haruki Murakami,1991,Charlotte,5,2.600,0.894,2.636,0.917,6.5
Immersion,Aliette de Bodard,2012,Bill,5,3.800,0.447,3.727,0.642,9.5
If You were a Dinosaur My Love,Rachel Swirsky,2013,Bill,5,1.700,0.837,1.818,0.949,10
Jackalope Wives,Ursula Vernon,2014,Bill,6,3.833,1.169,3.769,1.159,6.9
Instability,Paul Di Filippo,1988,Don,4,2.750,0.500,2.778,0.659,10.6
Slow Tuesday Night,RA Lafferty,1965,Don,4,3.000,1.414,3.000,1.308,10
At the Rialto,Connie Willis,1990,Don,4,3.250,1.258,3.222,1.188,6.9
A Logic Named Joe,Murray Leinster,1946,Les,4,2.000,1.155,2.111,1.154,7.3
Omnilingual,HBeam Piper,1957,Les,5,2.800,0.447,2.818,0.598,9.6
The Wandering Earth,Cixin Liu,2000,Ting,5,4.000,1.225,3.909,1.212,
With Her Eyes,Cixin Liu,1999,Ting,5,3.000,1.225,3.000,1.174,
The Girl Who Loved Animals,Bruce McAllister,1988,Gary,5,2.700,0.837,2.727,0.870,
Day Million,Frederik Pohl,1966,Gary,8,2.813,0.961,2.824,0.964,10.9
The Rememberer,Aimee Bender,1997,Gary,5,2.200,1.525,2.273,1.444,7.8
Kirinyaga,Mike Resnick,1989,Vijay,6,3.333,1.633,3.308,1.540,8
The Machine Stops,EM Forster,1909,Vijay,5,3.200,0.447,3.182,0.598,8.1
The Gravity Mine,Stephen Baxter,2000,Stuart,5,2.800,0.447,2.818,0.598,6.9
Start the Clock,Benjamin Rosenbaum,2004,Stuart,4,3.750,0.957,3.667,0.989,6.1
The Clockwork Atom Bomb,Dominic Green,2005,Stuart,5,2.900,0.742,2.909,0.794,
The Lifecycle of Software Objects,Ted Chiang,2010,Don,6,3.317,1.059,3.292,1.047,11
The Voice,Anne Bishop,2012,Charlotte,5,3.200,0.908,3.182,0.922,
I Have No Mouth and I Must Scream,Harlan Ellison,1967,Bill,8,2.750,1.389,2.765,1.343,
The Ceiling,Kevin Brockmeier,2002,Bill,7,2.429,0.976,2.467,0.986,
Nightfall,Isaac Asimov,1941,Vijay,6,4.000,0.632,3.923,0.755,
Library of Babel,Jorge Borges,1941,Vijay,6,2.833,0.753,2.846,0.796,14.3
Let's Have a Talk,Xia Jia,2015,Ting,5,2.800,0.837,2.818,0.867,
A Walk In the Sun,Geoffery Landis,1991,Ting,5,4.000,0.707,3.909,0.825,6.9
The Last Question,Isaac Asimov,1956,Ting,5,3.500,1.225,3.455,1.184,7.9
Repent Harlequin Said the Ticktockman,Harlan Ellison,1965,Mark,7,3.071,1.644,3.067,1.562,8.8
Time in Advance,William Tenn,1958,Mark,5,2.200,0.837,2.273,0.898,
None So Blind,Joe Haldeman,1994,Stuart,5,2.900,0.548,2.909,0.659,12.7
Movement,Nancy Fulda,2011,Stuart,6,3.083,0.917,3.077,0.927,9
Learning to be Me,Greg Egan,1990,Gary,6,4.333,1.033,4.231,1.086,
Marionettes Inc,Ray Bradbury,1949,Gary,6,2.417,0.917,2.462,0.940,4.7
All You Zombies,Robert Heinlein,1959,Charlotte,6,3.667,1.033,3.615,1.038,7.2
Why I Left Harry's All-Night Hamburgers,Lawrence Watt-Evans,1987,Charlotte,6,3.833,1.169,3.769,1.159,11.3
The Nine Billion Names of God,Arthur Clarke,1953,Don,9,3.222,0.667,3.211,0.711,8.9
Johnny Mnemonic,William Gibson,1981,Don,5,3.600,1.140,3.545,1.120,8.3
They're Made Out of Meat,Terry Bisson,1991,Don,9,4.389,0.858,4.316,0.929,4.7
When It Ends He Catches Her,Eugie Foster,2014,Bill,5,2.400,0.548,2.455,0.682,6.9
What's Expected of Us,Ted Chiang,2005,Bill,4,2.500,1.000,2.556,1.002,
Unit Simulation,Coy St Clair,2014,Bill,4,1.750,0.500,1.889,0.773,
Monkeys,Ken Liu,2012,Bill,4,2.250,0.500,2.333,0.699,
The Ostracons of Europa,Ken Hinkley,2013,Bill,6,1.000,0.000,1.154,0.685,
The Buyout,Ananyo Bhattacharya,2015,Bill,4,2.500,0.577,2.556,0.718,
